name,weight
German Pinscher,30
German Pinscher,30
German Pinscher,30
German Shepherd,85
German Shepherd,85
German Shepherd,85
German Shorthair Pointer,57.5
German Shorthair Pointer,62.5
German Shorthair Pointer,52.5
German Wirehaired Pointer,60
German Wirehaired Pointer,60
German Wirehaired Pointer,60
Glen of Imaal Terrier,35
Glen of Imaal Terrier,35
Glen of Imaal Terrier,35
Goldador,70
Goldador,70
Goldador,70
Golden Retriever,65
Golden Retriever,70
Golden Retriever,60
Goldendoodle,100
Goldendoodle,150
Goldendoodle,50
Gordon Setter,62.5
Gordon Setter,67.5
Gordon Setter,57.5
Great Dane,110
Great Dane,110
Great Dane,110
Great Pyrenees,92.5
Great Pyrenees,100
Great Pyrenees,85
Greater Swiss Mountain Dog,110
Greater Swiss Mountain Dog,122.5
Greater Swiss Mountain Dog,97.5
Greyhound,65
Greyhound,67.5
Greyhound,62.5
Harrier,50
Harrier,50
Harrier,50
Havanese,10
Havanese,10
Havanese,10
Hovawart,72.5
Hovawart,72.5
Hovawart,72.5
Hunt Terrier,12
Hunt Terrier,12
Hunt Terrier,12
Ibiza Hound,47.5
Ibiza Hound,50
Ibiza Hound,45
Ibizan Hound,47.5
Ibizan Hound,50
Ibizan Hound,45
Iceland Sheepdog,25
Iceland Sheepdog,27.5
Iceland Sheepdog,22.5
Illyrian Sheepdog,82.5
Illyrian Sheepdog,88
Illyrian Sheepdog,77
Irish Setter,65
Irish Setter,70
Irish Setter,60
Irish Terrier,26
Irish Terrier,27
Irish Terrier,25
Irish Water Spaniel,55.75
Irish Water Spaniel,60
Irish Water Spaniel,51.5
Irish Wolfhound,112.5
Irish Wolfhound,120
Irish Wolfhound,105
Italian Greyhound,10.5
Italian Greyhound,10.5
Italian Greyhound,10.5
Italian Spinone,75
Italian Spinone,80.5
Italian Spinone,69.5
Jack Russell Terrier,15
Jack Russell Terrier,15
Jack Russell Terrier,15
Japanese Chin,5.5
Japanese Chin,5.5
Japanese Chin,5.5
Jindo,37.5
Jindo,42.5
Jindo,32.5
Kai Dog,40
Kai Dog,40
Kai Dog,40
Karelian Bear Dog,46.5
Karelian Bear Dog,46.5
Karelian Bear Dog,46.5
Keeshond,40
Keeshond,45
Keeshond,35
Kerry Blue Terrier,34.5
Kerry Blue Terrier,36.5
Kerry Blue Terrier,32.5
Kishu Ken,45
Kishu Ken,45
Kishu Ken,45
Komondor,75
Komondor,80
Komondor,70
Kooikerhondje,22
Kooikerhondje,22
Kooikerhondje,22
Kuvasz,93.75
Kuvasz,107.5
Kuvasz,80
Labradoodle,57.5
Labradoodle,57.5
Labradoodle,57.5
Labrador Retriever,67.5
Labrador Retriever,72.5
Labrador Retriever,62.5
Lagotto Romagnolo,29.75
Lagotto Romagnolo,31.5
Lagotto Romagnolo,28
Lakeland Terrier,15.75
Lakeland Terrier,14.5
Lakeland Terrier,17
Lancashire Heeler,19
Lancashire Heeler,20
Lancashire Heeler,18
Leonberger,132.5
Leonberger,150
Leonberger,115
Lhasa Apso,14
Lhasa Apso,14
Lhasa Apso,14
Lhasapoo,16
Lhasapoo,16
Lhasapoo,16
Lowchen,13
Lowchen,13
Lowchen,13
MalShi,10.5
MalShi,10.5
MalShi,10.5
Maltese,5.5
Maltese,5.5
Maltese,5.5
Maltipom,6
Maltipom,6
Maltipom,6
Maltipoo,10
Maltipoo,10
Maltipoo,10
Manchester Terrier,17
Manchester Terrier,17
Manchester Terrier,17
Manchester Terrier,9.5
Manchester Terrier,9.5
Manchester Terrier,9.5
Maremma Sheepdog,82.5
Maremma Sheepdog,88
Maremma Sheepdog,77
Mastiff,182.5
Mastiff,182.5
Mastiff,182.5
McNab,37.5
McNab,37.5
McNab,37.5
Swiss Hound,22
Spanish Mastiff,175
Mexican Hairless,22.5
Mexican Hairless,22.5
Mexican Hairless,22.5
Miniature Australian Shepherd,30
Miniature Australian Shepherd,30
Miniature Australian Shepherd,30
Miniature Bull Terrier,29
Miniature Bull Terrier,29
Miniature Bull Terrier,29
Miniature Pinscher,9
Miniature Pinscher,9
Miniature Pinscher,9
Morkie/Yorktese,6.5
Morkie/Yorktese,6.5
Morkie/Yorktese,6.5
Mountain Cur,50
Mountain Cur,55
Mountain Cur,45
Treeing Cur,50
Glen Of Imaal,35
Mudi,23.5
Mudi,23.5
Mudi,23.5
Neapolitan Mastiff,165
Neapolitan Mastiff,165
Neapolitan Mastiff,165
New Guinea Singing Dog,25
New Guinea Singing Dog,25
New Guinea Singing Dog,25
Newfoundland,125
Newfoundland,140
Newfoundland,110
Norfolk Terrier,11.5
Norfolk Terrier,11.5
Norfolk Terrier,11.5
Norwegian Buhund,33
Norwegian Buhund,35.5
Norwegian Buhund,30.5
Norwegian Elkhound,51.5
Norwegian Elkhound,55
Norwegian Elkhound,48
Norwegian Lundehund,14.5
Norwegian Lundehund,15.5
Norwegian Lundehund,13.5
Norwich Terrier,12
Norwich Terrier,12
Norwich Terrier,12
Nova Scotia Duck Tolling Retriever,44
Nova Scotia Duck Tolling Retriever,44
Nova Scotia Duck Tolling Retriever,44
Olde English Bulldogge,67.5
Olde English Bulldogge,75
Olde English Bulldogge,60
Olde English Sheepdog,75
Olde English Sheepdog,80
Olde English Sheepdog,70
Otterhound,97.5
Otterhound,115
Otterhound,80
Papillon,9.5
Papillon,9.5
Papillon,9.5
Papoo,8.5
Papoo,8.5
Papoo,8.5
Parson Russell Terrier,15
Parson Russell Terrier,15
Parson Russell Terrier,15
Patterdale Terrier,12
Patterdale Terrier,12
Patterdale Terrier,12
Peek-A-Pom,6.5
Peek-A-Pom,6.5
Peek-A-Pom,6.5
Pekepoo,13
Pekepoo,13
Pekepoo,13
Pekingese,14
Pekingese,14
Pekingese,14
Peruvian Inca Orchid,32
Peruvian Inca Orchid,32
Peruvian Inca Orchid,32
Petite Basset Griffon Vendeen,30
Petite Basset Griffon Vendeen,30
Petite Basset Griffon Vendeen,30
Pharaoh Hound,50
Pharaoh Hound,50
Pharaoh Hound,50
Plott Hound,51.25
Plott Hound,55
Plott Hound,47.5
Landseer,135
Bluetick Hound,68
Feist,30
Podengo Portugueso,27.5
Podengo Portugueso,27.5
Podengo Portugueso,27.5
Old English Sheepdog,80
Podengo Pequeno,11
Pointer,60
Pointer,65
Pointer,55
Polish Lowland Sheepdog,40
Polish Lowland Sheepdog,45
Polish Lowland Sheepdog,35
Polish Owczarek Nizinny,40
Polish Owczarek Nizinny,45
Polish Owczarek Nizinny,35
Polish Tatra Sheepdog,105
Polish Tatra Sheepdog,105
Polish Tatra Sheepdog,105
Pomapoo,9
Pomapoo,9
Pomapoo,9
Pomchi,8.5
Pomchi,8.5
Pomchi,8.5
Pomeranian,5
Pomeranian,5
Pomeranian,5
Standard Poodle,55
Standard Poodle,55
Standard Poodle,55
Toy Poodle,7.5
Toy Poodle,7.5
Miniature Poodle,16
Portuguese Podengo,27.5
Portuguese Podengo,27.5
Portuguese Podengo,27.5
Portuguese Pointer,46.5
Portuguese Pointer,51.5
Portuguese Pointer,41.5
Port Water Dog,46.75
Port Water Dog,51
Port Water Dog,42.5
Presa Canario,92.5
Presa Canario,100
Presa Canario,85
Pug,16
Pug,16
Pug,16
Puggle,22.5
Puggle,22.5
Puggle,22.5
Puli,30
Puli,30
Puli,30
Pumi,24.75
Pumi,27.5
Pumi,22
Pyrenean Mastiff,137.5
Pyrenean Mastiff,137.5
Pyrenean Mastiff,137.5
Pyrenean Shepherd,22.5
Pyrenean Shepherd,22.5
Pyrenean Shepherd,22.5
Queensland Heeler,33
Queensland Heeler,33.5
Queensland Heeler,32.5
